cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
2657	1,-2,-2,0,1	1/24	1/1024	1/16	17/16	13/16	13/16	0.1008488559033718	0.10084703058934089	0.99998190049837887	1.0000182226373115	1.0000182226373115	4.4408920985006262e-16	9.9920072216264089e-16
2689	1,-2,-2,0,2	1/16	1/256	1/16	9/8	47/32	47/32	0.13553019769607408	0.13552845855893658	0.99998716789935338	1.0000133760814081	1.0000133760814081	6.6613381477509392e-16	8.8817841970012523e-16
2721	1,-2,-2,0,2	1/16	1/512	1/16	9/8	47/32	47/32	0.13553019767823216	0.13552845854106138	0.99998716789910613	1.0000133760816685	1.0000133760816685	1.5543122344752192e-15	1.9984014443252818e-15
2753	1,-2,-2,0,2	1/16	1/1024	1/16	9/8	47/32	47/32	0.13553019766931138	0.13552845853212375	0.99998716789898101	1.0000133760817984	1.0000133760817984	4.4408920985006262e-16	9.9920072216264089e-16
2785	1,-2,-2,0,2	1/24	1/256	1/16	9/8	47/32	47/32	0.13553019766501079	0.13552845852781575	0.99998716789892583	1.0000133760818632	1.0000133760818632	6.6613381477509392e-16	9.9920072216264089e-16
2817	1,-2,-2,0,2	1/24	1/512	1/16	9/8	47/32	47/32	0.13553019766270027	0.13552845852550099	0.9999871678988943	1.000013376081899	1.000013376081899	2.2204460492503131e-16	5.5511151231257827e-16
2849	1,-2,-2,0,2	1/24	1/1024	1/16	9/8	47/32	47/32	0.13553019766154542	0.13552845852434364	0.99998716789887576	1.0000133760819125	1.0000133760819125	8.8817841970012523e-16	1.2212453270876722e-15
2881	1,-2,-2,1,-2	1/16	1/256	1/16	9/8	27/16	27/16	0.14152372095697083	0.14153312026598822	1.0000664150783616	0.99993437458016599	1.0000664150783616	9.9920072216264089e-16	1.1102230246251565e-15
2913	1,-2,-2,1,-2	1/16	1/512	1/16	9/8	27/16	27/16	0.14152372095829666	0.14153312026742604	1.0000664150791523	0.99993437457937839	1.0000664150791523	7.7715611723760958e-16	8.8817841970012523e-16
2945	1,-2,-2,1,-2	1/16	1/1024	1/16	9/8	27/16	27/16	0.14152372095895926	0.14153312026814444	1.0000664150795462	0.99993437457898626	1.0000664150795462	1.4432899320127035e-15	6.6613381477509392e-16
